PF10417.11	1-cysPrx_C
PF12574.10	120_Rick_ant
PF09847.11	12TM_1
PF00244.22	14-3-3
PF16998.7	17kDa_Anti_2
PF00389.32	2-Hacid_dh
PF02826.21	2-Hacid_dh_C
PF00198.25	2-oxoacid_dh
PF16078.7	2-oxogl_dehyd_N
PF04029.16	2-ph_phosp
PF04463.14	2-thiour_desulf
PF16620.7	23ISL
PF05635.13	23S_rRNA_IVP
PF08521.12	2CSK_N
PF08793.12	2C_adapt
PF20150.1	2EXR
PF11591.10	2Fe-2S_Ferredox
PF01257.21	2Fe-2S_thioredx
PF08975.12	2H-phosphodiest
PF03390.17	2HCT
PF03171.22	2OG-FeII_Oxy
PF13532.8	2OG-FeII_Oxy_2
PF13640.8	2OG-FeII_Oxy_3
PF13661.8	2OG-FeII_Oxy_4
PF13759.8	2OG-FeII_Oxy_5
PF10014.11	2OG-Fe_Oxy_2
PF13239.8	2TM
PF13563.8	2_5_RNA_ligase2
PF03475.16	3-alpha
PF06983.15	3-dmu-9_3-mt
PF06052.14	3-HAO
PF12578.10	3-PAP
PF17644.3	30K_MP_core
PF11330.10	30K_MP_C_Ter
PF00803.20	3A
PF01073.21	3Beta_HSD
PF06725.13	3D
PF02829.16	3H
PF10605.11	3HBOH
PF00725.24	3HCDH
PF02737.20	3HCDH_N
PF18321.3	3HCDH_RFF
PF16121.7	40S_S4_C
PF16122.7	40S_SA_C
PF04419.16	4F5
PF17947.3	4HB
PF03061.24	4HBT
PF13279.8	4HBT_2
PF13622.8	4HBT_3
PF12729.9	4HB_MCP_1
PF04476.15	4HFCP_synth
PF18671.3	4HPAD_g_N
PF17837.3	4PPT_N
PF05902.15	4_1_CTD
PF01812.22	5-FTHF_cyc-lig
PF06189.14	5-nucleotidase
PF09038.12	53-BP1_Tudor
PF03491.15	5HT_transport_N
PF07694.14	5TM-5TMR_LYT
PF01367.22	5_3_exonuc
PF02739.18	5_3_exonuc_N
PF05761.16	5_nucleotid
PF02872.20	5_nucleotid_C
PF02096.22	60KD_IMP
PF01591.20	6PF2K
PF00393.21	6PGD
PF02294.20	7kD_DNA_binding
PF07698.13	7TM-7TMR_HD
PF07696.13	7TMR-DISMED2
PF07695.13	7TMR-DISM_7TM
PF07697.13	7TMR-HDED
PF00001.23	7tm_1
PF00002.26	7tm_2
PF00003.24	7tm_3
PF13853.8	7tm_4
PF02949.22	7tm_6
PF08395.14	7tm_7
PF02117.18	7TM_GPCR_Sra
PF10292.11	7TM_GPCR_Srab
PF02175.18	7TM_GPCR_Srb
PF10316.11	7TM_GPCR_Srbc
PF10317.11	7TM_GPCR_Srd
PF10318.11	7TM_GPCR_Srh
PF10327.11	7TM_GPCR_Sri
PF10319.11	7TM_GPCR_Srj
PF10320.11	7TM_GPCR_Srsx
PF10321.11	7TM_GPCR_Srt
PF10322.11	7TM_GPCR_Sru
PF10323.11	7TM_GPCR_Srv
PF10324.11	7TM_GPCR_Srw
PF10328.11	7TM_GPCR_Srx
PF10325.11	7TM_GPCR_Srz
PF10326.11	7TM_GPCR_Str
PF14402.8	7TM_transglut
PF17028.7	8TM_micro
PF07388.13	A-2_8-polyST
PF07966.14	A1_Propeptide
PF08792.12	A2L_zn_ribbon
PF00207.24	A2M
PF07703.16	A2M_BRD
PF07677.16	A2M_recep
PF03443.16	AA9
PF00004.31	AAA
PF09820.11	AAA-ATPase_like
PF12846.9	AAA_10
PF13086.8	AAA_11
PF13087.8	AAA_12
PF13166.8	AAA_13
PF13173.8	AAA_14
PF13175.8	AAA_15
PF13191.8	AAA_16
PF13207.8	AAA_17
PF13238.8	AAA_18
PF13245.8	AAA_19
PF07724.16	AAA_2
PF13304.8	AAA_21
PF13401.8	AAA_22
PF13476.8	AAA_23
PF13479.8	AAA_24
PF13481.8	AAA_25
PF13500.8	AAA_26
PF13514.8	AAA_27
PF13521.8	AAA_28
PF13555.8	AAA_29
PF07726.13	AAA_3
PF13604.8	AAA_30
PF13614.8	AAA_31
PF13654.8	AAA_32
PF13671.8	AAA_33
PF13872.8	AAA_34
PF14516.8	AAA_35
PF07728.16	AAA_5
PF12774.9	AAA_6
PF12775.9	AAA_7
PF12780.9	AAA_8
PF12781.9	AAA_9
PF14363.8	AAA_assoc
PF16193.7	AAA_assoc_2
PF09821.11	AAA_assoc_C
PF17857.3	AAA_lid_1
PF17872.3	AAA_lid_10
PF18198.3	AAA_lid_11
PF17863.3	AAA_lid_2
PF17862.3	AAA_lid_3
PF17864.3	AAA_lid_4
PF17865.3	AAA_lid_5
PF17866.3	AAA_lid_6
PF17867.3	AAA_lid_7
PF17868.3	AAA_lid_8
PF17871.3	AAA_lid_9
PF08298.13	AAA_PrkA
PF18280.3	AadA_C
PF04611.14	AalphaY_MDB
PF03306.15	AAL_decarboxy
PF05282.13	AAR2
PF08142.14	AARP2CN
PF03417.18	AAT
PF07247.14	AATase
PF13339.8	AATF-Che1
PF00696.30	AA_kinase
PF00324.23	AA_permease
PF13520.8	AA_permease_2
PF13906.8	AA_permease_C
PF08403.12	AA_permease_N
PF06684.13	AA_synth
PF01490.20	Aa_trans
PF07336.13	ABATE
PF12430.10	ABA_GPCR
PF02496.18	ABA_WDS
PF14156.8	AbbA_antirepres
PF00950.19	ABC-3
PF03109.18	ABC1
PF01061.26	ABC2_membrane
PF12679.9	ABC2_membrane_2
PF12698.9	ABC2_membrane_3
PF12730.9	ABC2_membrane_4
PF13346.8	ABC2_membrane_5
PF06182.13	ABC2_membrane_6
PF19055.2	ABC2_membrane_7
PF09818.11	ABC_ATPase
